title,start_year,end_year,genre,rating,votes,plot_summary,run_time,gross,production_type,actors,director
The Ice Road,2021,,"['Action', 'Adventure', 'Drama']",5.6,20561,"After a remote diamond mine collapses in far northern Canada, a ‘big-rig’ ice road driver must lead an impossible rescue mission over a frozen ocean to save the trapped miners.",109,,,"['Liam Neeson', 'Marcus Thomas', 'Laurence Fishburne', 'Amber Midthunder']",['Jonathan Hensleigh']
Arrow,2012,2020,"['Action', 'Adventure', 'Crime']",7.5,414712,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",42,,Series,"['Stephen Amell', 'Katie Cassidy', 'David Ramsey', 'Susanna Thompson']",
Orange Is the New Black,2013,2019,"['Comedy', 'Crime', 'Drama']",8.0,284554,"Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be.",59,,Series,"['Taylor Schilling', 'Danielle Brooks', 'Taryn Manning', 'Emma Myles']",
Gossip Girl,2007,2012,"['Drama', 'Romance']",7.4,159666,Privileged teens living on the Upper East Side of New York can hide no secret from the ruthless blogger who is always watching.,42,,Series,"['Blake Lively', 'Leighton Meester', 'Penn Badgley', 'Ed Westwick']",
Bridgerton,2020,Ongoing,"['Drama', 'Romance']",7.3,83944,"Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family.",60,,Series,"['Phoebe Dynevor', 'Regé-Jean Page', 'Nicola Coughlan', 'Jonathan Bailey']",
The Kominsky Method,2018,2021,"['Comedy', 'Drama']",8.2,33440,"An aging actor, who long ago enjoyed a brush with fame, makes his living as an acting coach.",30,,Series,"['Michael Douglas', 'Sarah Baker', 'Graham Rogers', 'Melissa Tang']",
Homeland,2011,2020,"['Crime', 'Drama', 'Mystery']",8.3,322307,A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.,55,,Series,"['Claire Danes', 'Mandy Patinkin', 'Damian Lewis', 'Rupert Friend']",
Riverdale,2017,Ongoing,"['Crime', 'Drama', 'Mystery']",6.8,126112,"While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.",45,,Series,"['K.J. Apa', 'Lili Reinhart', 'Camila Mendes', 'Cole Sprouse']",
Sherlock,2010,2017,"['Crime', 'Drama', 'Mystery']",9.1,839029,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,88,,Series,"['Benedict Cumberbatch', 'Martin Freeman', 'Una Stubbs', 'Rupert Graves']",
La cocinera de Castamar,2021,,['Drama'],7.4,1336,"Set in early 18th-century Madrid, the plot follows the love story between an agoraphobic cook and a widowed nobleman.",,,,"['Michelle Jenner', 'Roberto Enríquez', 'Hugo Silva', 'Maxi Iglesias']",
Queen of the South,2016,2021,"['Action', 'Crime', 'Drama']",8.0,23318,Teresa flees Mexico after her drug-runner boyfriend is murdered. Settling in Dallas she looks to become the country's reigning drug smuggler and to avenge her lover's murder.,42,,Series,"['Alice Braga', 'Hemky Madera', 'Peter Gadiot', 'Veronica Falcón']",
CSI: Crime Scene Investigation,2000,2015,"['Crime', 'Drama', 'Mystery']",7.6,78589,Series following an elite team of police forensic evidence investigation experts as they work their cases in Las Vegas.,60,,Series,"['Laurence Fishburne', 'Marg Helgenberger', 'George Eads', 'Eric Szmanda']",
The Umbrella Academy,2019,Ongoing,"['Action', 'Adventure', 'Comedy']",8.0,175513,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.",60,,Series,"['Elliot Page', 'Tom Hopper', 'David Castañeda', 'Emmy Raver-Lampman']",
Supergirl,2015,2021,"['Action', 'Adventure', 'Drama']",6.2,115373,The adventures of Superman's cousin in her own superhero career.,43,,Series,"['Melissa Benoist', 'Chyler Leigh', 'David Harewood', 'Mehcad Brooks']",
BoJack Horseman,2014,2020,"['Animation', 'Comedy', 'Drama']",8.7,124318,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",25,,Series,"['Will Arnett', 'Amy Sedaris', 'Alison Brie', 'Aaron Paul']",
The Lord of the Rings: The Fellowship of the Ring,2001,,"['Action', 'Adventure', 'Drama']",8.8,1713028,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,178,315.54,,"['Elijah Wood', 'Ian McKellen', 'Orlando Bloom', 'Sean Bean']",['Peter Jackson']
I Think You Should Leave with Tim Robinson,2019,Ongoing,['Comedy'],7.8,8095,"In this new sketch show, Tim Robinson and guests spend each segment driving someone to the point of needing -- or desperately wanting -- to leave.",16,,Series,"['Tim Robinson', 'Sam Richardson', 'Patti Harrison', ""Conner O'Malley""]",
South Park,1997,Ongoing,"['Animation', 'Comedy']",8.7,340148,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",22,,Series,"['Trey Parker', 'Matt Stone', 'Isaac Hayes', 'Mona Marshall']",
Once Upon a Time,2011,2018,"['Adventure', 'Fantasy', 'Romance']",7.7,212616,A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.,60,,Series,"['Ginnifer Goodwin', 'Jennifer Morrison', 'Lana Parrilla', 'Robert Carlyle']",
Star Trek: Discovery,2017,Ongoing,"['Action', 'Adventure', 'Drama']",7.2,101079,"Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.",60,,Series,"['Sonequa Martin-Green', 'Doug Jones', 'Anthony Rapp', 'Mary Wiseman']",
Teen Wolf,2011,2017,"['Action', 'Drama', 'Fantasy']",7.6,132950,An average high school student and his best friend get caught up in some trouble causing him to receive a werewolf bite. As a result they find themselves in the middle of all sorts of dramas in Beacon Hills.,41,,Series,"['Tyler Posey', 'Holland Roden', ""Dylan O'Brien"", 'Linden Ashby']",
How to Get Away with Murder,2014,2020,"['Crime', 'Drama', 'Mystery']",8.1,136135,A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.,43,,Series,"['Viola Davis', 'Billy Brown', 'Jack Falahee', 'Aja Naomi King']",
Star Trek: Deep Space Nine,1993,1999,"['Action', 'Adventure', 'Drama']",8.0,55687,"In the vicinity of the liberated planet of Bajor, the Federation space station Deep Space Nine guards the opening of a stable wormhole to the far side of the galaxy.",45,,Series,"['Avery Brooks', 'Rene Auberjonois', 'Cirroc Lofton', 'Alexander Siddig']",
Seinfeld,1989,1998,['Comedy'],8.8,264801,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,22,,Series,"['Jerry Seinfeld', 'Julia Louis-Dreyfus', 'Michael Richards', 'Jason Alexander']",
Spartacus: Blood and Sand,2010,2013,"['Action', 'Adventure', 'Biography']",8.5,228484,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.",55,,Series,"['Andy Whitfield', 'Lucy Lawless', 'Manu Bennett', 'Daniel Feuerriegel']",
Hawaii Five-0,2010,2020,"['Action', 'Crime', 'Drama']",7.3,68627,Steve McGarrett returns home to Oahu in order to find his father's killer; The Governor offers him the chance to run his own task force - Five-0.,42,,Series,"[""Alex O'Loughlin"", 'Scott Caan', 'Taylor Wily', 'Daniel Dae Kim']",
Good Witch,2015,2021,"['Comedy', 'Drama', 'Fantasy']",7.3,8268,"""Good Witch"" will take viewers on a new magical journey with Cassie Nightingale and her daughter Grace. When Dr. Sam Radford moves in next door to Grey House with his son, they are charmed by the 'magical' mother-daughter duo.",48,,Series,"['Catherine Bell', 'Catherine Disher', 'James Denton', 'Kylee Evans']",
The Sinner,2017,Ongoing,"['Crime', 'Drama', 'Mystery']",7.9,96901,Anthology series that examines how and why ordinary people commit brutal crimes.,45,,Series,"['Bill Pullman', 'Dohn Norwood', 'Adam LeFevre', 'Jessica Biel']",
Arrested Development,2003,2019,['Comedy'],8.7,284373,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.",22,,Series,"['Jason Bateman', 'Michael Cera', 'Portia de Rossi', 'Will Arnett']",
Escape Room,2019,,"['Action', 'Adventure', 'Horror']",6.4,99351,Six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive.,99,57.01,I,"['Taylor Russell', 'Logan Miller', 'Jay Ellis', 'Tyler Labine']",['Adam Robitel']
You,2018,Ongoing,"['Crime', 'Drama', 'Romance']",7.7,157666,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.",45,,Series,"['Penn Badgley', 'Victoria Pedretti', 'Ambyr Childers', 'Elizabeth Lail']",
Mindhunter,2017,2019,"['Crime', 'Drama', 'Thriller']",8.6,235694,"Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.",60,,Series,"['Jonathan Groff', 'Holt McCallany', 'Anna Torv', 'Hannah Gross']",
Jaws,1975,,"['Adventure', 'Thriller']",8.0,558731,"When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",124,260.0,,"['Roy Scheider', 'Robert Shaw', 'Richard Dreyfuss', 'Lorraine Gary']",['Steven Spielberg']
Avatar: The Last Airbender,2005,2008,"['Animation', 'Action', 'Adventure']",9.3,265845,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",23,,Series,"['Dee Bradley Baker', 'Zach Tyler', 'Mae Whitman', 'Jack De Sena']",
The Punisher,2017,2019,"['Action', 'Crime', 'Drama']",8.5,194777,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them.",53,,Series,"['Jon Bernthal', 'Amber Rose Revah', 'Ben Barnes', 'Jason R. Moore']",
Star Trek: Voyager,1995,2001,"['Action', 'Adventure', 'Sci-Fi']",7.8,61917,"Pulled to the far side of the galaxy, where the Federation is seventy-five years away at maximum warp speed, a Starfleet ship must cooperate with Maquis rebels to find a way home.",44,,Series,"['Kate Mulgrew', 'Robert Beltran', 'Roxann Dawson', 'Robert Duncan McNeill']",
The Departed,2006,,"['Crime', 'Drama', 'Thriller']",8.5,1227522,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,151,132.38,,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson', 'Mark Wahlberg']",['Martin Scorsese']
Narcos,2015,2017,"['Biography', 'Crime', 'Drama']",8.8,375261,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.",49,,Series,"['Pedro Pascal', 'Lizbeth Eden', 'Wagner Moura', 'Boyd Holbrook']",
The Serpent,2021,,"['Crime', 'Drama', 'Thriller']",7.6,33936,"The twisting, real-life story of Charles Sobhraj, a murderer, thief and seductive master of disguise, who was a hidden darkness in the mid-70's on Asia's hippie trail.",58,,,"['Tahar Rahim', 'Billy Howle', 'Jenna Coleman', 'Ellie Bamber']",
Star Wars: The Clone Wars,2008,2020,"['Animation', 'Action', 'Adventure']",8.3,71904,Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.,23,,Series,"['Tom Kane', 'Dee Bradley Baker', 'Matt Lanter', 'James Arnold Taylor']",
"Murder, She Wrote",1984,1996,"['Crime', 'Drama', 'Mystery']",7.0,20330,"Professional writer and amateur sleuth Jessica Fletcher uses her intellect, charm, and persistence to get to the bottom of every crime she encounters.",50,,Series,"['Angela Lansbury', 'William Windom', 'Ron Masak', 'Louis Herthum']",
Fatherhood,2021,,"['Comedy', 'Drama']",6.7,26508,A father brings up his baby girl as a single dad after the unexpected death of his wife who died a day after their daughter's birth.,109,,,"['Kevin Hart', 'Alfre Woodard', 'Lil Rel Howery', 'DeWanda Wise']",['Paul Weitz']
Blue Bloods,2010,Ongoing,"['Crime', 'Drama', 'Mystery']",7.6,34064,Revolves around a family of New York cops.,43,,Series,"['Donnie Wahlberg', 'Bridget Moynahan', 'Will Estes', 'Len Cariou']",
Heist,2021,Ongoing,"['Documentary', 'Crime', 'Mystery']",6.8,846,Millions in stolen cash. Missing luxury bourbon. Watch ordinary people almost get away with these extraordinary heists in this true crime series.,41,,Series,"['William Guirola', 'Megan Barlow', 'Scott Bender', 'Jonny Carlson']",
The Woman in the Window,2021,,"['Crime', 'Drama', 'Mystery']",5.7,57048,"An agoraphobic woman living alone in New York begins spying on her new neighbors, only to witness a disturbing act of violence.",100,,,"['Amy Adams', 'Gary Oldman', 'Anthony Mackie', 'Fred Hechinger']",['Joe Wright']
Black Summer,2019,Ongoing,"['Action', 'Drama', 'Horror']",6.5,25453,"In the dark, early days of a zombie apocalypse, complete strangers band together to find the strength they need to survive and get back to loved ones.",40,,Series,"['Jaime King', 'Justin Chu Cary', 'Christine Lee', 'Zoe Marlett']",
Katla,2021,Ongoing,"['Drama', 'Mystery', 'Sci-Fi']",7.1,8391,"One year after the violent eruption of the subglacial volcano Katla, the peace and tranquility in the small town of Vik is dramatically disturbed.",,,Series,"['Guðrún Ýr Eyfjörð', 'Íris Tanja Flygenring', 'Ingvar Sigurdsson', 'Aliette Opheim']",
Gone Girl,2014,,"['Drama', 'Mystery', 'Thriller']",8.1,895888,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",149,167.77,,"['Ben Affleck', 'Rosamund Pike', 'Neil Patrick Harris', 'Tyler Perry']",['David Fincher']
Jumanji: Welcome to the Jungle,2017,,"['Action', 'Adventure', 'Comedy']",6.9,337900,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",119,404.52,,"['Dwayne Johnson', 'Karen Gillan', 'Kevin Hart', 'Jack Black']",['Jake Kasdan']
American Psycho,2000,,"['Comedy', 'Crime', 'Drama']",7.6,517014,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",101,15.07,,"['Christian Bale', 'Justin Theroux', 'Josh Lucas', 'Bill Sage']",['Mary Harron']
House of Cards,2013,2018,['Drama'],8.7,476656,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,51,,Series,"['Kevin Spacey', 'Michel Gill', 'Robin Wright', 'Kate Mara']",
Miraculous: Tales of Ladybug & Cat Noir,2015,Ongoing,"['Animation', 'Action', 'Adventure']",7.7,8300,"Marinette and Adrien, two normal teens, transform into superheroes Ladybug and Cat Noir when an evil threatens their city.",20,,Series,"['Cristina Valenzuela', 'Bryce Papenbrook', 'Keith Silverstein', 'Mela Lee']",
