title,start_year,end_year,language,run_time,rating,summary,status
Queen of the South,2016,2021,English,60.0,8.0,"Queen of the South is based on the literary page-turner ""La Reina Del Sur"", the top-selling novel by the internationally acclaimed author Arturo Pérez-Reverte, which also yielded a Telemundo series that became one of the most popular telenovelas of all time for USA's sister network. It tells the powerful story of Teresa Mendoza (Alice Braga). When her drug-dealing boyfriend is unexpectedly murdered in Mexico, Teresa is forced to go on the run and seek refuge in America, where she teams with an unlikely figure from her past to bring down the leader of the very drug trafficking ring that has her on the run. In the process, she learns the tools of the trade and strategically positions herself to become the leader of the Cartel.",Ended
CSI: Crime Scene Investigation,2000,2015,English,60.0,8.1,"CSI: Crime Scene Investigation is a drama about a team of forensic investigators trained to solve criminal cases by scouring the crime scene, collecting irrefutable evidence and finding the missing pieces that solve the mystery.",Ended
The Umbrella Academy,2019,2024,English,51.0,7.9,"Reunited by their father's death, estranged siblings with extraordinary powers uncover shocking family secrets — and a looming threat to humanity.",Ended
Supergirl,2015,2021,English,60.0,7.0,"Supergirl is an action-adventure drama based on the DC Comics character Kara Zor-El, Superman's (Kal-El) cousin who, after 12 years of keeping her powers a secret on Earth, decides to finally embrace her superhuman abilities and be the hero she was always meant to be.",Ended
BoJack Horseman,2014,2020,English,26.0,7.9,"Meet the most beloved sitcom horse of the '90s, 20 years later. He's a curmudgeon with a heart of... not quite gold... but something like gold. Copper?",Ended
I Think You Should Leave with Tim Robinson,2019,,English,17.0,5.7,There is no such thing as an ordinary interaction in this offbeat sketch comedy series that features a deep roster of guest stars.,To Be Determined
South Park,1997,,English,30.0,8.4,South Park is an adult comedy animation show centred around 4 children in the small town of south park. Its humour is often dark involving satirical elements and mocking current real-life events.,Running
Once Upon a Time,2011,2018,English,60.0,7.5,"Once Upon a Time is Fairy Tale Land. It's filled with magic, monsters and all of the characters we all know from stories growing up. It's real, and so are the people in it. But unlike the ""happily ever after"" you may have heard about, their stories continued, and The Evil Queen cast a Dark Curse over the land...This is Storybrooke. It's a quiet, little New England town filled with people who go about their everyday lives with no idea who they really are. The Queen's Curse has trapped them here and placed her in near-complete control. They have no real memories and no real hope.",Ended
Star Trek: Discovery,2017,2024,English,51.0,7.3,"Star Trek, one of the most iconic and influential global television franchises, returns 50 years after it first premiered, with Star Trek: Discovery. The series will feature a new ship, new characters and new missions, while embracing the same ideology and hope for the future that inspired a generation of dreamers and doers.",Ended
Teen Wolf,2011,2023,English,60.0,8.0,"Always an outsider and often unnoticed, Scott McCall yearns to be recognized in some small way that takes him out of his typical state of high school anonymity. When his best friend, Stiles, convinces him to go into the woods one night to join a police search for a dead body, Scott encounters a creature in the darkness. Narrowly escaping an attack with a vicious bite in his side, the next day brings strange surprises for Scott at school and his life will never be the same.MTV's reboot of the classic 1980s cult movie Teen Wolf.",Ended
How to Get Away with Murder,2014,2020,English,60.0,7.5,"The brilliant, charismatic and seductive Professor Annalise Keating gets entangled with four law students from her class, How to Get Away with Murder. Little do they know that they will have to apply what they learned to real life, in this masterful, sexy, suspense-driven legal thriller.",Ended
Star Trek: Deep Space Nine,1993,1999,English,60.0,8.4,"Star Trek: Deep Space Nine (DS9) focuses on the 24th century adventures of Captain Benjamin Sisko on space station Deep Space 9, an outpost situated near the mouth of a stable wormhole on the far reaches of explored space. Although Sisko commands Deep Space 9, the station actually belongs to the inhabitants of nearby Bajor, who requested Starfleet's protective presence after Bajoran freedom fighters put an end to the brutal Cardassian occupation of their world. Approximately a sixth of the station's 300 permanent residents are Starfleet personnel; there is also a sizable Bajoran militia presence. The rest of Deep Space 9's inhabitants are civilians, most of whom work in the station's Promenade, a kind of indoor marketplace. Initially, Sisko's mandate from Starfleet was to protect Bajor and the station from any hostiles who ventured into the area. But with the discovery of the nearby wormhole—a shortcut through space that leads directly to the uncharted Gamma quadrant—Sisko's mandate has expanded exponentially, as the region becomes the gateway to all manner of visitors, both friendly and extremely hostile.",Ended
Seinfeld,1989,1998,English,30.0,8.2,"Seinfeld is the story of a fictionalized version of stand-up comedian Jerry Seinfeld, his life in New York City and his quirky group of friends who join him in wrestling with life's most perplexing, yet often trivial questions. Often described as ""a show about nothing,"" Seinfeld mines the humor in life's mundane situations like waiting in line, searching for a lost item, or the trials and tribulations of dating.",Ended
Spartacus: Blood and Sand - The Motion Comic,2009,2010,English,13.0,,"Spartacus is an unwilling gladiator, a captive of Rome where he must defeat his gladiator opponents. Fighting to kill and survive, he writes his legend in the spray of his rivals' blood. This is Roman justice, and these are the legends of Rome.",Ended
Hawaii Five-0,2010,2020,English,60.0,7.7,"Hawaii Five-0 is a contemporary take on the classic series about a new elite federalized task force whose mission is to wipe out the crime that washes up on the Islands' sun-drenched beaches. Detective Steve McGarrett, a decorated Naval officer-turned-cop, returned to Oahu to investigate his father's murder and stayed after Hawaii's former governor persuaded him to head up the new team: his rules, no red tape and full blanket authority to hunt down the biggest ""game"" in town. Joining McGarrett is Detective Danny ""Danno"" Williams, a relocated ex-New Jersey cop - a working man in paradise who prefers skyscrapers to the coastline - but who's committed to keeping the Islands safe for his young daughter; Chin Ho Kelly, an ex-Honolulu police detective and former protégé of McGarrett's father who was wrongly accused of corruption; Dr. Max Bergman, the quirky coroner; Chin's cousin, Kono Kalakaua, a beautiful and fearless native; and Captain Lou Grover, who formerly headed Hawaii's SWAT unit. Joining them is Jerry Ortega, a former classmate of Chin's and the Island's local conspiracy theorist. The state's brash FIVE-0 unit, who may spar and jest among themselves, remain determined to eliminate the seedy elements from the 50th state.",Ended
